               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.021505,            0.009821,           0.0013873,             0.75812,             0.71472,             0.73726,             0.53512,            0.029984,           0.0088414,            0.002548,            0.002179,            0.002179,            0.002179
                  81,            0.021751,           0.0096184,           0.0013043,             0.79204,             0.68672,             0.73454,             0.52027,            0.030019,           0.0088689,           0.0022699,             0.00208,             0.00208,             0.00208
                  82,            0.020387,            0.010162,           0.0014896,             0.75756,             0.69823,             0.72808,             0.50668,            0.028976,           0.0090995,            0.002204,            0.001981,            0.001981,            0.001981
                  83,            0.020773,           0.0093991,           0.0015571,             0.78816,             0.69163,             0.72499,             0.50455,            0.029002,           0.0090666,           0.0024012,            0.001882,            0.001882,            0.001882
                  84,            0.020469,           0.0095422,           0.0013734,             0.80081,              0.6826,             0.72037,             0.50881,            0.029204,           0.0090782,           0.0027291,            0.001783,            0.001783,            0.001783
                  85,             0.01968,           0.0095298,           0.0015773,             0.75969,             0.67622,             0.70842,             0.50195,            0.029578,            0.009305,           0.0030987,            0.001684,            0.001684,            0.001684
                  86,            0.019787,            0.010013,            0.001412,             0.78778,             0.70079,               0.718,             0.51475,            0.029982,           0.0092433,           0.0027637,            0.001585,            0.001585,            0.001585
                  87,            0.019541,           0.0096366,           0.0011521,             0.80674,             0.65552,             0.71977,             0.52303,            0.028653,           0.0093799,           0.0023748,            0.001486,            0.001486,            0.001486
                  88,            0.019904,           0.0096168,           0.0015223,             0.74425,             0.71023,             0.72039,             0.52211,            0.028383,           0.0095337,           0.0026829,            0.001387,            0.001387,            0.001387
                  89,            0.019313,           0.0094781,           0.0013912,             0.77658,             0.69948,             0.72811,             0.54372,            0.028549,           0.0088784,           0.0025904,            0.001288,            0.001288,            0.001288
