#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
89,Mark Canha,592192,11445,11445,8977,*025eo*,FA,1B/OF,1B/OF,Canha,Mark,,
90,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,OF,OF,Yelich,Christian,Yelich,Christian
91,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie
92,Joely Rodriguez,570257,11487,11487,9460,*03ani*,FA,RP,RP,Rodriguez,Joely,,
93,Michael A. Taylor,572191,11489,11489,8866,*02h9j*,FA,OF,OF,Taylor,Michael A.,,
94,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny
95,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce
96,Jose Urena,570632,11589,11589,9010,*02j6w*,CHC,RP,RP,Urena,Jose,,
97,Willson Contreras,575929,11609,11609,9263,*03oh0*,STL,C,C,Contreras,Willson,Contreras,Willson
98,Brandon Drury,592273,11615,11615,8931,*02hlw*,FA,2B,2B,Drury,Brandon,,
99,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson
100,Elias Diaz,553869,11680,11680,9153,*03fhx*,FA,C,C,Diaz,Elias,,
101,Tayron Guerrero,594027,11691,11691,9300,*026t9*,LAA,RP,RP,Guerrero,Tayron,,
102,Nick Castellanos,592206,11737,11737,8221,*01uc9*,PHI,OF,OF,Castellanos,Nick,Castellanos,Nick
103,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.
104,Luke Jackson,592426,11752,11752,8716,*025ey*,FA,RP,RP,Jackson,Luke,,
105,Drew Smyly,592767,11760,11760,8246,*025ej*,FA,RP,RP,Smyly,Drew,,
106,Hector Neris,593576,11804,11804,8860,*03h90*,FA,RP,RP,Neris,Hector,,
107,Taijuan Walker,592836,11836,11836,8418,*025dq*,PHI,SP,SP,Walker,Taijuan,Walker,Taijuan
108,Joc Pederson,592626,11899,11899,8688,*026qc*,TEX,DH,DH,Pederson,Joc,Pederson,Joc
109,Kyle Hendricks,543294,12049,12049,8841,*02bwg*,LAA,SP,SP,Hendricks,Kyle,Hendricks,Kyle
110,Scott McGough,543518,12056,12056,9130,*02btq*,FA,RP,RP,McGough,Scott,,
111,Yimi Garcia,554340,12095,12095,8895,*02z0e*,TOR,RP,RP,Garcia,Yimi,García,Yimi
112,Max Kepler,596146,12144,12144,9172,*01vja*,PHI,OF,OF,Kepler,Max,Kepler,Max
113,Eddie Rosario,592696,12155,12155,8675,*025f7*,FA,OF,OF,Rosario,Eddie,,
114,Austin Barnes,605131,12158,12158,9049,*02bwt*,LAD,C,C,Barnes,Austin,Barnes,Austin
115,Ben Gamel,592325,12160,12160,9197,*02hka*,FA,OF,OF,Gamel,Ben,,
116,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,2B/SS,2B/SS,Bogaerts,Xander,Bogaerts,Xander
117,Chris Bassitt,605135,12304,12304,8879,*02c2h*,TOR,SP,SP,Bassitt,Chris,Bassitt,Chris
118,Colin Rea,607067,12317,12317,9124,*02bzn*,FA,SP,SP,Rea,Colin,,
119,Jacob Barnes,606930,12323,12323,9277,*02c14*,FA,RP,RP,Barnes,Jacob,,
120,Kevin Pillar,607680,12434,12434,8576,*02xi1*,FA,OF,OF,Pillar,Kevin,,
121,Seth Lugo,607625,12447,12447,9312,*03sef*,KC,SP,SP,Lugo,Seth,Lugo,Seth
122,Curt Casali,592200,12510,12510,8847,*02bxm*,FA,C,C,Casali,Curt,,
123,Marcus Semien,543760,12533,12533,8602,*02bu9*,TEX,2B,2B,Semien,Marcus,Semien,Marcus
124,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,ARI,3B,3B,Suarez,Eugenio,Suárez,Eugenio
125,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor
126,Blake Treinen,595014,12572,12572,8756,*02bve*,LAD,RP,RP,Treinen,Blake,Treinen,Blake
127,Adrian Houser,605288,12718,12718,9175,*02brc*,TEX,RP,RP,Houser,Adrian,Houser,Adrian
128,Nick Martinez,607259,12730,12730,8748,*02c4q*,CIN,SP,SP,Martinez,Nick,Martinez,Nick
129,Rafael Montero,606160,12760,12760,8682,*02jhl*,HOU,RP,RP,Montero,Rafael,Montero,Rafael
130,Chris Devenski,606965,12763,12763,9342,*02i31*,NYM,RP,RP,Devenski,Chris,Devenski,Chris
131,Sonny Gray,543243,12768,12768,8546,*0260v*,STL,SP,SP,Gray,Sonny,Gray,Sonny
132,Andrew Kittredge,552640,12828,12828,9706,*04ggi*,FA,RP,RP,Kittredge,Andrew,,
133,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George
134,Shawn Armstrong,542888,12857,12857,9123,*02c47*,TEX,RP,RP,Armstrong,Shawn,Armstrong,Shawn
135,James McCann,543510,12859,12859,8897,*02bra*,FA,C,C,McCann,James,,
136,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony
137,Matt Barnes,598264,12863,12863,8428,*0260w*,FA,RP,RP,Barnes,Matt,,
138,Andrew McKirahan,605374,12870,,8990,,MIA,RP,RP,McKirahan,Andrew,McKirahan,Andrew
139,Tyler Anderson,542881,12880,12880,9107,*026mq*,LAA,SP,SP,Anderson,Tyler,Anderson,Tyler
140,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco
141,Brandon Nimmo,607043,12927,12927,8955,*02bq2*,NYM,OF,OF,Nimmo,Brandon,Nimmo,Brandon
142,Joe Musgrove,605397,12970,12970,9248,*02bqy*,SD,SP,SP,Musgrove,Joe,Musgrove,Joe
143,Joe Ross,605452,12972,12972,9065,*02bq6*,PHI,SP,SP,Ross,Joe,Ross,Joe
144,Austin Hedges,595978,12976,12976,8431,*02brk*,CLE,C,C,Hedges,Austin,Hedges,Austin
145,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS,SS,Baez,Javier,Báez,Javier
146,Andrew Chafin,605177,12988,12988,8863,*02bqd*,FA,RP,RP,Chafin,Andrew,,
147,Anthony DeSclafani,543101,13050,13050,8786,*02but*,FA,SP,SP,DeSclafani,Anthony,,
148,Teoscar Hernandez,606192,13066,13066,9428,*02xic*,LAD,OF,OF,Hernandez,Teoscar,Hernández,Teoscar
149,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu
150,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit
151,Derek Law,571882,13133,13133,9289,*02bx6*,WSH,RP,RP,Law,Derek,Law,Derek
152,Josh Bell,605137,13145,13145,8962,*026lz*,WSH,1B,1B,Bell,Josh,Bell,Josh
153,Jorge Polanco,593871,13152,13152,8832,*02yd1*,FA,2B,2B,Polanco,Jorge,,
154,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo
155,Orlando Arcia,606115,13185,13185,8950,*02i1q*,ATL,SS,SS,Arcia,Orlando,Arcia,Orlando
156,Michael Fulmer,605242,13218,13218,9217,*02bqj*,BOS,RP,RP,Fulmer,Michael,Fulmer,Michael
157,Ross Stripling,548389,13273,13273,9281,*02bwr*,FA,SP,SP,Stripling,Ross,,
158,Jesse Hahn,534910,13287,13287,8803,,SEA,RP,RP,Hahn,Jesse,Hahn,Jesse
159,Danny Coulombe,543056,13293,13293,8921,*02hxd*,FA,RP,RP,Coulombe,Danny,,
160,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,3B,Muncy,Max,Muncy,Max
161,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,FA,2B/3B,2B/SS/ 3B/OF,Vargas,Ildemaro,Vargas,Ildemaro
162,Omar Narvaez,553882,13338,13338,9400,*043f8*,FA,C,C,Narvaez,Omar,Narváez,Omar
163,Luke Maile,571912,13355,13355,9143,*02n1q*,FA,C,C,Maile,Luke,,
164,Steven Matz,571927,13361,13361,8689,*02h8d*,STL,SP,SP,Matz,Steven,Matz,Steven
165,Dylan Floro,571670,13394,13394,9401,*02hhd*,FA,RP,RP,Floro,Dylan,,
166,Christian Walker,572233,13419,13419,8924,*02mw3*,HOU,1B,1B,Walker,Christian,Walker,Christian
167,Marcus Stroman,573186,13431,13431,8721,*02hg4*,NYY,SP,SP,Stroman,Marcus,Stroman,Marcus
168,Pierce Johnson,572955,13435,13435,8645,*02hdy*,ATL,RP,RP,Johnson,Pierce,Johnson,Pierce
169,Taylor Rogers,573124,13449,13449,9225,*02n3l*,SF,RP,RP,Rogers,Taylor,Rogers,Taylor
170,Lucas Sims,608371,13470,13470,8630,*02mw7*,FA,RP,RP,Sims,Lucas,,
171,Tom Murphy,608596,13499,13499,8657,*02t8m*,SF,C,C,Murphy,Tom,Murphy,Tom
172,Jose Ramirez,608070,13510,13510,8594,*01ub6*,CLE,3B,3B,Ramirez,Jose,Ramírez,José
173,Matt Bowman,621199,13528,13528,9273,*02n53*,BAL,RP,RP,Bowman,Matt,Bowman,Matt
174,Blake Snell,605483,13543,13543,9328,*02bqr*,LAD,SP,SP,Snell,Blake,Snell,Blake
175,Steven Okert,595345,13580,13580,9290,*02myt*,HOU,RP,RP,Okert,Steven,Okert,Steven
176,Jesse Winker,608385,13590,13590,8647,*02mwg*,FA,OF,OF,Winker,Jesse,,
177,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert
178,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,SS/OF,2B/SS/ OF,Betts,Mookie,Betts,Mookie
179,Ketel Marte,606466,13613,13613,9112,*0326s*,ARI,2B,2B,Marte,Ketel,Marte,Ketel
180,Carson Kelly,608348,13620,13620,9452,*02mxf*,CHC,C,C,Kelly,Carson,Kelly,Carson
181,Jeimer Candelario,600869,13621,13621,9264,*027fx*,CIN,1B/3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer
182,Corey Seager,608369,13624,13624,8668,*02mw6*,TEX,SS,SS,Seager,Corey,Seager,Corey
183,Jacob Stallings,607732,13723,13723,9384,*02j7h*,COL,C,C,Stallings,Jacob,Stallings,Jacob
184,Chris Taylor,621035,13757,13757,8852,*02u47*,LAD,2B/3B/ OF,2B/3B/ OF,Taylor,Chris,Taylor,Chris
185,Chris Stratton,608717,13761,13761,9292,*02mw1*,KC,RP,RP,Stratton,Chris,Stratton,Chris
186,JT Chargois,608638,13767,13767,9221,,FA,RP,RP,Chargois,JT,,
187,Travis Jankowski,608671,13768,13768,9125,*02j2v*,FA,OF,OF,Jankowski,Travis,,
188,Rob Refsnyder,608701,13770,13770,8929,*02mzf*,BOS,OF,OF,Refsnyder,Rob,Refsnyder,Rob
189,Zach Eflin,621107,13774,13774,9379,*02mwq*,BAL,SP,SP,Eflin,Zach,Eflin,Zach
190,Alex Wood,622072,13781,13781,8506,*02mwv*,FA,SP,SP,Wood,Alex,,
191,Matt Strahm,621381,13799,13799,9205,*02nax*,PHI,RP,RP,Strahm,Matt,Strahm,Matt
192,Matt Duffy,622110,13836,13836,8856,*02c5y*,FA,2B/3B,1B/2B/ 3B,Duffy,Matt,,
193,Joey Wendle,621563,13853,13853,9234,*02mzu*,FA,3B,3B,Wendle,Joey,,
194,Paul Sewald,623149,13892,13892,9642,*02n2x*,FA,RP,RP,Sewald,Paul,,
195,Tyler Heineman,623168,13897,13897,10691,*02n1c*,TOR,C,C,Heineman,Tyler,Heineman,Tyler
196,Brent Suter,608718,13942,13942,9436,*03cav*,CIN,RP,RP,Suter,Brent,Suter,Brent
197,Michael Wacha,608379,14078,14078,8426,*02iug*,KC,SP,SP,Wacha,Michael,Wacha,Michael
198,Kevin Gausman,592332,14107,14107,8427,*02hi7*,TOR,SP,SP,Gausman,Kevin,Gausman,Kevin
199,Lance McCullers Jr.,621121,14120,14120,8659,*026l1*,HOU,SP,SP,McCullers Jr.,Lance,McCullers Jr.,Lance
200,Joey Gallo,608336,14128,14128,8711,*02i3v*,FA,1B,1B,Gallo,Joey,,
201,Byron Buxton,621439,14161,14161,8674,*02i2k*,MIN,OF,OF,Buxton,Byron,Buxton,Byron
202,Carlos Correa,621043,14162,14162,8656,*02i2q*,MIN,SS,SS,Correa,Carlos,Correa,Carlos
203,Jose Berrios,621244,14168,14168,8951,*02mwk*,TOR,SP,SP,Berrios,Jose,Berríos,José
204,Josh Hader,623352,14212,14212,9492,*02n96*,HOU,RP,RP,Hader,Josh,Hader,Josh
205,Jorge Soler,624585,14221,14221,8331,*02i11*,LAA,OF,OF,Soler,Jorge,Soler,Jorge
206,Ray Black,605143,14244,,9286,*02bvi*,MIL,RP,RP,Black,Ray,Black,Ray
207,Mitch Haniger,571745,14274,14274,9431,*02mwj*,SEA,OF,OF,Haniger,Mitch,Haniger,Mitch
208,Wandy Peralta,593974,14295,14295,9448,*047sh*,SD,RP,RP,Peralta,Wandy,Peralta,Wandy
209,Frankie Montas,593423,14309,14309,9103,*02yg3*,NYM,SP,SP,Montas,Frankie,Montas,Frankie
210,Anthony Alford,546990,14329,,9509,,CIN,OF,OF,Alford,Anthony,Alford,Anthony
211,Matt Olson,621566,14344,14344,8690,*02mwm*,ATL,1B,1B,Olson,Matt,Olson,Matt
212,Tyler Glasnow,607192,14374,14374,8700,*02btx*,LAD,SP,SP,Glasnow,Tyler,Glasnow,Tyler
213,Joe Hudson,621529,14412,14412,10105,,NYM,C,C,Hudson,Joe,Hudson,Joe
214,Jake Cave,595909,14477,14477,9251,*02bul*,FA,OF,1B/OF,Cave,Jake,,
215,Jose Leclerc,600917,14524,14524,9239,*030×2*,FA,RP,RP,Leclerc,Jose,,
216,Jorge Lopez,605347,14527,14527,9173,*02brf*,FA,RP,RP,Lopez,Jorge,,
